DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P5010,P8526,P8530,PERSONAS,FEX_C,logro_educativo,analfabetismo,inasistencia_escolar,rezago_escolar,atencion_integral,trabajo_infantil,aseguramiento_salud,barreras_acceso_salud,desempleo_larga_duracion,empleo_formal,acueducto,alcantarillado,pisos,paredes,hacinamiento,IPM,POBRE,FEXP,PERIODO,P1075,P1077S21,P1077S22,P1077S23
8369741,1,7,5,1,1,7,1717.4232375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.15,0,12021.962662,,,,,
8369742,1,2,1,1,1,2,1683.9377112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3367.8754225,,,,,
8369745,1,2,2,1,1,2,1287.0787422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574.1574844,,,,,
8369751,1,1,1,1,1,1,1488.0282409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,1488.0282409,20250731,1,2,2,2
8369752,1,1,1,1,1,1,2071.1473864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071.1473864,20250731,1,2,1,2
8369753,1,5,2,1,1,5,969.72457718,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,4848.6228859,,,,,
8369754,1,3,2,1,1,3,691.08130572,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,2073.2439172,,,,,
8369756,1,3,2,1,1,3,294.36131665,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3,0,883.08394994,,,,,
8369758,1,3,2,1,1,3,679.41463162,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,2038.2438949,,,,,
8369759,1,4,3,1,1,4,561.55096794,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,2246.2038718,,,,,
8369760,1,4,2,1,1,4,966.60735211,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,3866.4294085,,,,,
